iri	iri label	attribute	attribute label	entity	entity label
TO:0000398	whole plant morphology trait	PATO:0001241	physical object quality	PO:0000003	whole plant
TO:0000844	in vitro plant structure morphology trait	PATO:0001241	physical object quality	PO:0000004	in vitro plant structure
TO:0000789	bud morphology trait	PATO:0001241	physical object quality	PO:0000055	bud
TO:0000911	trichome morphology trait	PATO:0001241	physical object quality	PO:0000282	trichome
TO:0000898	root nodule morphology trait	PATO:0001241	physical object quality	PO:0003023	root nodule
TO:0000549	rhizome morphology trait	PATO:0001241	physical object quality	PO:0004542	rhizome
TO:0000742	subterranean shoot axis tuber morphology trait	PATO:0001241	physical object quality	PO:0004547	subterranean shoot axis tuber
TO:0000790	axillary bud morphology trait	PATO:0001241	physical object quality	PO:0004709	axillary bud
TO:0000942	aleurone layer morphology trait	PATO:0001241	physical object quality	PO:0005360	aleurone layer
TO:0000747	phyllome morphology trait	PATO:0001241	physical object quality	PO:0006001	phyllome
TO:0000920	infructescence morphology trait	PATO:0001241	physical object quality	PO:0006342	infructescence
TO:0002629	fruit morphology trait	PATO:0001241	physical object quality	PO:0009001	fruit
TO:0002683	plant cell morphology trait	PATO:0001241	physical object quality	PO:0009002	plant cell
TO:0000043	root morphology trait	PATO:0001241	physical object quality	PO:0009005	root
TO:0000077	shoot system morphology trait	PATO:0001241	physical object quality	PO:0009006	shoot system
TO:0000843	portion of plant tissue morphology trait	PATO:0001241	physical object quality	PO:0009007	portion of plant tissue
TO:0000736	plant organ morphology trait	PATO:0001241	physical object quality	PO:0009008	plant organ
TO:0000064	plant embryo morphology trait	PATO:0001241	physical object quality	PO:0009009	plant embryo
TO:0000184	seed morphology trait	PATO:0001241	physical object quality	PO:0009010	seed
TO:0000839	plant structure morphology trait	PATO:0001241	physical object quality	PO:0009011	plant structure
TO:0000470	vascular tissue morphology trait	PATO:0001241	physical object quality	PO:0009015	portion of vascular tissue
TO:0000419	vascular leaf morphology trait	PATO:0001241	physical object quality	PO:0009025	vascular leaf
TO:0000866	sporophyll morphology trait	PATO:0001241	physical object quality	PO:0009026	sporophyll
TO:0000867	megasporophyll morphology trait	PATO:0001241	physical object quality	PO:0009027	megasporophyll
TO:0000868	microsporophyll morphology trait	PATO:0001241	physical object quality	PO:0009028	microsporophyll
TO:0000215	stamen morphology trait	PATO:0001241	physical object quality	PO:0009029	stamen
