iri	iri label	entity	entity label	plant_part	plant_part label	synonym
TO:1000025	root system aluminium content	CHEBI:49470	aluminium(3+)	PO:0025025	root system	root Al content
TO:1000026	root system arsenic content	CHEBI:35829	arsenic(5+)	PO:0025025	root system	root As content
TO:1000027	root system boron content	CHEBI:30168	boron(3+)	PO:0025025	root system	root B content
TO:1000028	root system barium content	CHEBI:37136	barium(2+)	PO:0025025	root system	root Ba content
TO:1000029	root system calcium content	CHEBI:39124	calcium ion	PO:0025025	root system	root Ca content
TO:1000030	root system cadmium content	CHEBI:48775	cadmium(2+)	PO:0025025	root system	root Cd content
TO:1000031	root system cobalt content	CHEBI:23336	cobalt cation	PO:0025025	root system	root Co content
TO:1000032	root system chromium content	CHEBI:33516	chromium cation	PO:0025025	root system	root Cr content
TO:1000033	root system copper content	CHEBI:29036	copper(2+)	PO:0025025	root system	root Cu content
TO:1000034	root system iron content	CHEBI:24875	iron cation	PO:0025025	root system	root Fe content
TO:1000035	root system iodine content	CHEBI:33116	iodine(1+)	PO:0025025	root system	root I content
TO:1000036	root system potassium content	CHEBI:29103	potassium(1+)	PO:0025025	root system	root K content
TO:1000037	root system lithium content	CHEBI:49713	lithium(1+)	PO:0025025	root system	root Li content
TO:1000038	root system magnesium content	CHEBI:18420	magnesium(2+)	PO:0025025	root system	root Mg content
TO:1000039	root system manganese content	CHEBI:29035	manganese(2+)	PO:0025025	root system	root Mn content
TO:1000040	root system molybdenum content	CHEBI:37239	molybdenum cation	PO:0025025	root system	root Mo content
TO:1000041	root system sodium content	CHEBI:29101	sodium(1+)	PO:0025025	root system	root Na content
TO:1000042	root system nickel content	CHEBI:25516	nickel cation	PO:0025025	root system	root Ni content
TO:1000043	root system phosphorus content	CHEBI:33467	phosphorus(1+)	PO:0025025	root system	root P content
TO:1000044	root system lead content	CHEBI:30180	lead(4+)	PO:0025025	root system	root Pb content
TO:1000045	root system rubidium content	CHEBI:49847	rubidium(1+)	PO:0025025	root system	root Rb content
TO:1000046	root system sulfur content	CHEBI:29832	sulfur(1+)	PO:0025025	root system	root S content
TO:1000047	root system selenium content	CHEBI:60250	selenium ion	PO:0025025	root system	root Se content
TO:1000048	root system silicon content	CHEBI:30584	silicon(4+)	PO:0025025	root system	root Si content
TO:1000049	root system strontium content	CHEBI:39130	strontium ion	PO:0025025	root system	root Sr content
TO:1000050	root system zinc content	CHEBI:27365	zinc ion	PO:0025025	root system	root Zn content
TO:1000051	shoot system aluminium content	CHEBI:49470	aluminium(3+)	PO:0009006	shoot system	shoot Al content
TO:1000052	shoot system arsenic content	CHEBI:35829	arsenic(5+)	PO:0009006	shoot system	shoot As content
TO:1000053	shoot system boron content	CHEBI:30168	boron(3+)	PO:0009006	shoot system	shoot B content
TO:1000054	shoot system barium content	CHEBI:37136	barium(2+)	PO:0009006	shoot system	shoot Ba content
TO:1000055	shoot system calcium content	CHEBI:39124	calcium ion	PO:0009006	shoot system	shoot Ca content
TO:1000056	shoot system cadmium content	CHEBI:48775	cadmium(2+)	PO:0009006	shoot system	shoot Cd content
TO:1000057	shoot system cobalt content	CHEBI:23336	cobalt cation	PO:0009006	shoot system	shoot Co content
TO:1000058	shoot system chromium content	CHEBI:33516	chromium cation	PO:0009006	shoot system	shoot Cr content
TO:1000059	shoot system copper content	CHEBI:29036	copper(2+)	PO:0009006	shoot system	shoot Cu content
TO:1000060	shoot system iron content	CHEBI:24875	iron cation	PO:0009006	shoot system	shoot Fe content
TO:1000061	shoot system iodine content	CHEBI:33116	iodine(1+)	PO:0009006	shoot system	shoot I content
TO:1000062	shoot system lithium content	CHEBI:49713	lithium(1+)	PO:0009006	shoot system	shoot Li content
TO:1000063	shoot system magnesium content	CHEBI:18420	magnesium(2+)	PO:0009006	shoot system	shoot Mg content
TO:1000064	shoot system manganese content	CHEBI:29035	manganese(2+)	PO:0009006	shoot system	shoot Mn content
TO:1000065	shoot system molybdenum content	CHEBI:37239	molybdenum cation	PO:0009006	shoot system	shoot Mo content
TO:1000066	shoot system nickel content	CHEBI:25516	nickel cation	PO:0009006	shoot system	shoot Ni content
TO:1000067	shoot system lead content	CHEBI:30180	lead(4+)	PO:0009006	shoot system	shoot Pb content
TO:1000068	shoot system rubidium content	CHEBI:49847	rubidium(1+)	PO:0009006	shoot system	shoot Rb content
TO:1000069	shoot system sulfur content	CHEBI:29832	sulfur(1+)	PO:0009006	shoot system	shoot S content
TO:1000070	shoot system selenium content	CHEBI:60250	selenium ion	PO:0009006	shoot system	shoot Se content
TO:1000071	shoot system silicon content	CHEBI:30584	silicon(4+)	PO:0009006	shoot system	shoot Si content
TO:1000072	shoot system strontium content	CHEBI:39130	strontium ion	PO:0009006	shoot system	shoot Sr content
TO:1000073	shoot system zinc content	CHEBI:27365	zinc ion	PO:0009006	shoot system	shoot Zn content
