iri	iri label	entity	entity label	plant_part	plant_part label	def
	1-decanol content	CHEBI:28903	decan-1-ol	PO:0030107	achene fruit	amount of volatile compound 1-decanol in fruit
	1-octanol content	CHEBI:16188	octan-1-ol	PO:0030107	achene fruit	amount of volatile compound 1-octanol in fruit
	2-decenal content	CHEBI:61727	dec-2-enal	PO:0030107	achene fruit	amount of volatile compound 2-decenal in fruit
	2-heptenal content	CHEBI:61724	hept-2-enal	PO:0030107	achene fruit	amount of volatile compound 2-heptenal in fruit
	2-methyl butyl acetate content	CHEBI:50585	2-methylbutyl acetate	PO:0030107	achene fruit	amount of volatile compund 2-methyl butyl acetate in fruit
	2-methylbutyl acetate content	CHEBI:50585	2-methylbutyl acetate	PO:0030110	pome fruit	amount of volatile compound 2-methylbutyl acetate in fruit
	2-nonanone content	CHEBI:77927	nonan-2-one	PO:0030107	achene fruit	amount of volatile compound 2-nonanone in fruit
	2-octenal content	CHEBI:61725	oct-2-enal	PO:0030107	achene fruit	amount of volatile compound 2-octenal in fruit
	2-pentenal content	CHEBI:61722	2-pentenal	PO:0030107	achene fruit	amount of volatile compound 2-pentenal in fruit
	3-methylbutyl acetate content	CHEBI:31725	isoamyl acetate	PO:0030107	achene fruit	amount of volatile compound 3-methylbutyl acetate in fruit
	3-octanol content	CHEBI:80945	3-octanol	PO:0030110	pome fruit	amount of volatile compound 3-octanol in fruit
	6-methyl-5-hepten-2-one content	CHEBI:16310	sulcatone	PO:0030107	achene fruit	amount of volatile compound 6-methyl-5-hepten-2-one in fruit
	benzaldehyde content	CHEBI:17169	benzaldehyde	PO:0030107	achene fruit	amount of volatile compound benzaldehyde in fruit
	benzyl acetate content	CHEBI:52051	benzyl acetate	PO:0030107	achene fruit	amount of volatile compound benzyl acetate in fruit
	butyl acetate content	CHEBI:31328	butyl acetate	PO:0030110	pome fruit	amount of volatile compound butyl acetate in fruit
	butyl butanoate content	CHEBI:87429	butyl butanoate	PO:0030110	pome fruit	amount of volatile compound butyl butanoate in fruit
	butyl hexanoate content	CHEBI:89561	Butyl hexanoate	PO:0030107	achene fruit	amount of volatile compound butyl hexanoate in fruit
	catechin content	CHEBI:23053	catechin	PO:0030110	pome fruit	amount of polyphenolic compound catechin in fruit
	chlorogenic acid content	CHEBI:16112	chlorogenic acid	PO:0030110	pome fruit	amount of polyphenolic compound chlorogenic acid in fruit
	cinnamyl acetate content	CHEBI:31402	cinnamyl  acetate	PO:0030107	achene fruit	amount of volatile compound cinnamyl acetate in fruit
	citric acid content	CHEBI:30769	citric acid	PO:0030107	achene fruit	amount of citric acid n fruits
	citric acid content	CHEBI:30769	citric acid	PO:0030103	drupe fruit	amount of citric acid n fruits
	dehydroascorbate content in fruit flesh	CHEBI:58539	L-dehydroascorbate	PO:0030110	pome fruit	amount of dehydroascorbate in fruit flesh
	ethyl acetate content	CHEBI:27750	ethyl acetate	PO:0030107	achene fruit	amount of volatile compound ethyl acetate in fruit
	ethyl decanoate content	CHEBI:87430	ethyl decanoate	PO:0030107	achene fruit	amount of volatile compound ethyl decanoate in fruit
	ethyl hexanoate content	CHEBI:86055	ethyl hexanoate	PO:0030107	achene fruit	amount of volatile compound ethyl hexanoate in fruit
	eugenol content	CHEBI:4917	eugenol	PO:0030107	achene fruit	amount of volatile compound eugenol in fruit
	geranyl acetate content	CHEBI:5331	geranyl acetate	PO:0009001	fruit	amount of volatile compound geranyl acetate in fruit
	heptanal content	CHEBI:34787	Heptanal	PO:0030107	achene fruit	amount of volatile compound heptanal in fruit
	hexanol content	CHEBI:87393	hexan-1-ol	PO:0030110	pome fruit	amount of volatile compound hexanol in fruit
	hexyl acetate content	CHEBI:87510	hexyl acetate	PO:0030110	pome fruit	amount of volatile compound hexyl acetate in fruit
	hexyl butanoate content	CHEBI:87559	hexyl butyrate	PO:0030110	pome fruit	amount of volatile compound hexyl butanoate in fruit
	methyl benzoate content	CHEBI:72775	methyl benzoate	PO:0030107	achene fruit	amount of volatile compound methyl benzoate
	methyl hexanoate content	CHEBI:77322	methyl hexanoate	PO:0030107	achene fruit	amount of volatile compound methyl hexanoate
	methyl octanoate content	CHEBI:87432	methyl octanoate	PO:0030107	achene fruit	amount of volatile compound methyl octanoate
	myrtenol content	CHEBI:25460	myrtenol	PO:0030107	achene fruit	amount of volatile compound myrtenol
	nerol content	CHEBI:29452	nerol	PO:0009001	fruit	amount of nerol
	nerolidol content	CHEBI:7524	nerolidol	PO:0030107	achene fruit	amount of volatile compound nerolidol
	nonanal content	CHEBI:84268	nonanal	PO:0030107	achene fruit	amount of volatile compound nonanal
	nonyl acetate content	CHEBI:87511	nonyl acetate	PO:0030107	achene fruit	amount of volatile compound nonyl acetate
	octyl acetate content	CHEBI:87495	octyl acetate	PO:0030107	achene fruit	amount of volatile compound octyl acetate in fruit
	octyl butanoate content	CHEBI:89726	Octyl butanoate	PO:0030107	achene fruit	amount of volatile compound octyl butanoate in fruit
	palmitic acid content	CHEBI:15756	hexadecanoic acid	PO:0030103	drupe fruit	amount of palmitic acid in the kernel, an important part of kernal transport and quality evaluation
	palmitoleic acid content	CHEBI:28716	palmitoleic acid	PO:0030103	drupe fruit	amount of palmitoleic acid in the kernel, an important part of kernel transport and qulaity evaluation
	pentyl acetate content	CHEBI:87362	pentyl acetate	PO:0030110	pome fruit	amount of pentyl acetate
	propyl acetate content	CHEBI:40116	propyl acetate	PO:0030110	pome fruit	amount of volatile compound propyl acetate
	propyl hexanoate content	CHEBI:87365	propyl hexanoate	PO:0030110	pome fruit	amount of volatile compound propyl hexanoate
	quinic acid content	CHEBI:26493	quinic acid	PO:0030110	pome fruit	amount of quinic acid
	sorbitol content	CHEBI:30911	glucitol	PO:0030110	pome fruit	amount of sorbitol in fruit flesh
	sorbitol content	CHEBI:30911	glucitol	PO:0030103	drupe fruit	amount of sorbitol in fruit flesh
	terpineol content	CHEBI:26876	terpineol	PO:0030107	achene fruit	amount of volatile compound terpineol
	2-heptanone content	CHEBI:5672	heptan-2-one	PO:0030107	achene fruit	amount of volatile compound 2-heptanone in fruit
	catechin unknown content	CHEBI:23053	catechin	PO:0009001	fruit	amount of polyphenolic compound catechin unknown in fruit
	hexyl hexanoate content	CHEBI:87559	hexyl butyrate	PO:0030110	pome fruit	amount of volatile compound hexyl hexanoate in fruit
	sucrose content	CHEBI:17992	sucrose	PO:0030107	achene fruit	amount of sucrose
	sucrose content	CHEBI:17992	sucrose	PO:0030103	drupe fruit	amount of sucrose
	linalool content	CHEBI:17580	linalool	PO:0030107	achene fruit	amount of volatile compound linalool
	malic acid content	CHEBI:6650	malic acid	PO:0030103	drupe fruit	amount of malic acid
