iri	iri label	entity	entity label	attribute	attribute label	def
	base diameter	PO:0009047	stem	PATO:0001334	diameter	base diameter of tree
	base diameter increment	PO:0009047	stem	PATO:0001334	diameter	change in base diameter of tree
	branch number	PO:0025073	branch	PATO:0001056	number	number of branches arising from the central leader
	cane pubescence	PO:0009047	stem	PATO:0001320	pubescent hair	fine hairs on the cane
	flesh color around the stone	PO:0025035	storage parenchyma	PATO:0000014	color	color of flesh around the stone
	flower size	PO:0009046	flower	PATO:0000117	size	size of flower
	fruit hardness	PO:0009001	fruit	PATO:0000048	hardness	sensory perception of hardness of fruit
	fruit height	PO:0009001	fruit	PATO:0000119	height	height of fruit , measured with digital calipers
	fruit number	PO:0009001	fruit	PATO:0001056	number	number of fruits per plant
	fruit skin color	PO:0009001	fruit	PATO:0000014	color	color of fruit color
	fruit stiffness	PO:0009001	fruit	PATO:0001033	stiffness	fruit stiffness measured by acoustic resonance with weight correction
	fruit texture	PO:0009001	fruit	PATO:0000150	texture	combination of different features, all dependent on the anatomical properties of primary cell wall. Force applied to the apple cortex breaks the chemical bonding of either the middle lamella or the cell wall, resulting in a mealy or crispy apple flesh texture characteristic, respectively
	kernel diameter	PO:0030104	caryopsis fruit	PATO:0001334	diameter	åÊ(LåÊÌÑåÊWåÊÌÑåÊT)^1/3, L=length, W=Width, T=thickness
	kernel length	PO:0030104	caryopsis fruit	PATO:0000122	length	length of kernel
	kernel taste	PO:0030104	caryopsis fruit	PATO:0000232	taste	taste of kernels, ranging from bitter to sweet
	kernel thickness	PO:0030104	caryopsis fruit	PATO:0000915	thickness	thickness of kernel
	kernel weight	PO:0030104	caryopsis fruit	PATO:0000128	weight	weight of kernel
	kernel width	PO:0030104	caryopsis fruit	PATO:0000921	width	width of the kernel
	leaf vein number	PO:0020138	leaf lamina vein	PATO:0001056	number	number of veins per leaf
	nut diameter	PO:0030102	nut fruit	PATO:0001334	diameter	(LåÊÌÑåÊWåÊÌÑåÊT)^1/3 (L=length, W=width, T=thickness)
	nut length	PO:0030102	nut fruit	PATO:0000122	length	length of nut, measured with digital caliper with precisin of 0.01 mm
	nut size	PO:0030102	nut fruit	PATO:0000117	size	LxWxT, (L=length, W=width, T=thickness)
	nut thickness	PO:0030102	nut fruit	PATO:0000915	thickness	thickness of nuts
	nut weight	PO:0030102	nut fruit	PATO:0000128	weight	weight of nut
	nut width	PO:0030102	nut fruit	PATO:0000921	width	width of nut
	presence of prickles	PO:0025169	prickle	PATO:0000070	amount	presence of prickles, thorns, or spines
	stem taper	PO:0009047	stem	PATO:0001500	tapered	stem diameter/ height ratio
	total branch number	PO:0025073	branch	PATO:0001056	number	total number of branches on a plant, done by counting long shoots and brindles of more than 10 cm; spurs were not taken into account
	tree shape	PO:0000003	whole plant	PATO:0000052	shape	shape assessed using the technical protocol for distinctness, uniformity, and stability tests of the Community Plant Variety Office; comprising the classes of fastigate, upright, upright to spreading, spreading, drooping, and weeping
	trunk diameter	PO:0009047	stem	PATO:0001334	diameter	diameter of trunk
