defined_class	defined_class label	attribute	attribute label	entity	entity label
TO:0000257	root branching	PATO:0000402	branched	PO:0009005	root
TO:0000050	inflorescence branching	PATO:0000402	branched	PO:0009049	inflorescence
TO:0000916	trichome clavate	PATO:0001883	clavate	PO:0000282	trichome
TO:0000763	seedling hypocotyl dark purple	PATO:0001259	dark purple	PO:0025291	seedling hypocotyl
TO:0000872	leaf erect	PATO:0000622	erect	PO:0025034	leaf
TO:0000715	fascicled ear	PATO:0001861	fasciculated	PO:0020136	ear inflorescence
TO:0000200	brittle culm	PATO:0001362	fragile	PO:0009047	stem
TO:0000713	brittle endosperm	PATO:0001362	fragile	PO:0009089	endosperm
TO:0000098	glutinous endosperm	PATO:0001540	glutinous	PO:0009089	endosperm
TO:0000760	seedling hypocotyl green	PATO:0000320	green	PO:0025291	seedling hypocotyl
TO:0000100	shrunken endosperm	PATO:0000585	hypotrophic	PO:0009089	endosperm
TO:0000113	giant embryo	PATO:0000586	increased size	PO:0009009	plant embryo
TO:0000105	dull endosperm	PATO:0000328	low saturation	PO:0009089	endosperm
TO:0000069	variegated leaf	PATO:0001533	multi-colored	PO:0025034	leaf
TO:0000873	leaf prostrate	PATO:0000631	prostrate	PO:0025034	leaf
TO:0000417	lemma and palea pubescence	PATO:0001320	pubescent hair	PO:0009034	flower bract
TO:0000055	leaf lamina pubescence	PATO:0001320	pubescent hair	PO:0020039	leaf lamina
TO:0002716	leaf sheath auricle pubescence	PATO:0001320	pubescent hair	PO:0020106	leaf sheath auricle
TO:0000762	seedling hypocotyl purple	PATO:0000951	purple	PO:0025291	seedling hypocotyl
TO:0000717	rough endosperm	PATO:0000700	rough	PO:0009089	endosperm
TO:0006063	leaf margin serrated	PATO:0001206	serrated	PO:0020128	leaf margin
TO:0000194	globular embryo	PATO:0001499	spherical	PO:0009009	plant embryo
TO:0000718	wrinkled seed	PATO:0001810	wrinkled	PO:0009010	seed
TO:0000189	embryoless	PATO:0000462	absent	PO:0009009	plant embryo
TO:0000231	endospermless	PATO:0000462	absent	PO:0009089	endosperm
TO:0000234	radicleless	PATO:0000462	absent	PO:0020031	radicle
TO:0000230	crown rootless	PATO:0000462	absent	PO:0000043	crown root
TO:0000714	seminal rootless	PATO:0000462	absent	PO:0000046	seminal root
TO:0000198	rootless	PATO:0000462	absent	PO:0009005	root
TO:0000235	liguleless	PATO:0000462	absent	PO:0020105	ligule
TO:0000226	auricleless	PATO:0000462	absent	PO:0020106	leaf sheath auricle
