defined_class	defined_class label	environment	environment label
TO:0000001	carbon sensitivity	PECO:0007303	carbon nutrient exposure
TO:0000003	alkali soil sensitivity	PECO:0007062	basic pH soil environment exposure
TO:0000006	calcium sensitivity	PECO:0007297	calcium nutrient exposure
TO:0000007	sulfur sensitivity	PECO:0007295	sulfur nutrient exposure
TO:0000008	potassium sensitivity	PECO:0007293	potassium nutrient exposure
TO:0000010	magnesium sensitivity	PECO:0007288	magnesium nutrient exposure
TO:0000011	nitrogen sensitivity	PECO:0007284	nitrogen macronutrient exposure
TO:0000015	oxygen sensitivity	PECO:0007278	oxygen exposure
TO:0000016	cobalt sensitivity	PECO:0007276	cobalt nutrient exposure
TO:0000018	boron sensitivity	PECO:0007273	boron nutrient exposure
TO:0000021	copper sensitivity	PECO:0007261	copper nutrient exposure
TO:0000025	molybdenum sensitivity	PECO:0007253	molybdenum nutrient exposure
TO:0000029	chlorine sensitivity	PECO:0007244	chlorine nutrient exposure
TO:0000031	silicon sensitivity	PECO:0007235	silicon nutrient exposure
TO:0000032	selenium sensitivity	PECO:0007232	selenium nutrient exposure
TO:0000033	iodine sensitivity	PECO:0007230	iodine nutrient exposure
TO:0000034	chromium sensitivity	PECO:0007228	chromium nutrient exposure
TO:0000038	fluorine sensitivity	PECO:0007225	fluorine nutrient exposure
TO:0000045	udbatta disease resistance	PECO:0007362	Balansia oryzae-sativae exposure
TO:0000058	herbicide sensitivity	PECO:0007183	herbicide exposure
TO:0000073	manganese sensitivity	PECO:0007387	manganese nutrient exposure
TO:0000074	blast disease resistance	PECO:0007226	Magnaporthe grisea exposure
TO:0000075	light sensitivity	PECO:0007196	light exposure
TO:0000080	micronutrient sensitivity	PECO:0007239	micronutrient exposure
TO:0000088	rice yellow mottle virus resistance	PECO:0007318	rice yellow mottle virus exposure
TO:0000095	osmotic response sensitivity	PECO:0001038	osmotic stress exposure
TO:0000102	phosphorus sensitivity	PECO:0007397	phosphorus nutrient exposure
TO:0000103	deepwater stress	PECO:0007396	flood prone region exposure
TO:0000158	red light sensitivity	PECO:0007207	red light exposure
TO:0000159	blue light sensitivity	PECO:0007218	blue light exposure
TO:0000160	UV light sensitivity	PECO:0007222	UV light exposure
TO:0000161	radiation response trait	PECO:0007151	radiation exposure
TO:0000163	auxin sensitivity	PECO:0007074	auxin exposure
TO:0000167	cytokinin sensitivity	PECO:0007066	cytokinin exposure
TO:0000172	jasmonic acid sensitivity	PECO:0007080	jasmonic acid exposure
TO:0000173	ethylene sensitivity	PECO:0007068	ethylene exposure
TO:0000176	macronutrient sensitivity	PECO:0007240	plant macronutrient exposure
TO:0000177	2,4-dichlorophenoxyacetic acid sensitivity	PECO:0007180	2,4-dichlorophenoxyacetic acid exposure
TO:0000178	acid soil sensitivity	PECO:0007059	acidic pH soil environment exposure
TO:0000182	insecticide sensitivity	PECO:0007632	insecticide exposure
TO:0000188	drought sensitivity	PECO:0007404	drought environment exposure
TO:0000191	rice hispa resistance	PECO:0007296	Dicladispa armigera exposure
TO:0000192	leaf-roller resistance	PECO:0007305	Cnaphalocrocis medinalis exposure
TO:0000212	green leafhopper resistance	PECO:0007308	Nephotettix spp exposure
TO:0000220	rice bug resistance	PECO:0007300	Leptocorisa oratorius exposure
TO:0000224	iron sensitivity	PECO:0007242	iron nutrient exposure
TO:0000237	water stress trait	PECO:0007198	water environment exposure
TO:0000248	primary macronutrient sensitivity	PECO:0007045	primary plant macronutrient exposure
TO:0000251	secondary macronutrient sensitivity	PECO:0007046	secondary macronutrient exposure
TO:0000259	heat tolerance	PECO:0007173	warm/hot temperature exposure
TO:0000292	yellow dwarf disease resistance	PECO:0007212	Mycoplasma exposure
TO:0000303	cold tolerance	PECO:0007174	cold temperature exposure
TO:0000323	stem rot disease resistance	PECO:0007363	Magnaporthe salvinii exposure
TO:0000332	rice whorl maggot resistance	PECO:0007289	Hydrellia philippina exposure
TO:0000351	zinc sensitivity	PECO:0007309	zinc nutrient exposure
TO:0000354	aluminum sensitivity	PECO:0007306	aluminum nutrient exposure
TO:0000356	brown spot disease resistance	PECO:0007211	Cochliobolus miyabeanus exposure
TO:0000386	rice ragged stunt virus resistance	PECO:0007195	rice ragged stunt virus exposure
TO:0000401	plant growth hormone sensitivity	PECO:0007165	growth hormone exposure
TO:0000418	bakanae disease resistance	PECO:0007229	Gibberella fujikuroi exposure
TO:0000429	salt sensitivity	PECO:0007185	salt exposure
TO:0000479	acid sensitivity	PECO:0007134	acidic pH growth media environment exposure
TO:0000480	nutrient sensitivity	PECO:0007241	plant nutrient exposure
TO:0000615	abscisic acid sensitivity	PECO:0007105	abscisic acid exposure
TO:0000711	imidazolinone sensitivity	PECO:0007633	imidazolinone exposure
TO:0002649	pesticide sensitivity	PECO:0007167	pesticide exposure
TO:0002677	brassinosteroid sensitivity	PECO:0007409	brassinosteroid exposure
TO:0002704	Meloidogyne incognita resistance	PECO:0007372	Meloidogyne incognita exposure
TO:0002706	Meloidogyne javanica resistance	PECO:0007371	Meloidogyne javanica exposure
TO:0020098	nitrate sensitivity	PECO:0007406	nitrate exposure
TO:0000423	gall midge resistance	PECO:0007311	Orseolia oryzae exposure
TO:0000332	rice whorl maggot resistance	PECO:0007289	Hydrellia philippina exposure
TO:0000460	light intensity sensitivity	PECO:0007224	light intensity exposure
