TRY Data Explorer Output	2014-4-30
Trait List

TraitID	Trait	ObsNum	ObsGRNum	AccSpecNum	
617	Bark carbon (C) content per dry mass	439	439	27	
248	Bark density	737	737	278	
618	Bark nitrogen (N) content per dry mass	438	438	27	
619	Bark phosphorus (P) content per dry mass	425	425	26	
24	Bark thickness	183	183	52	
447	Branch carbon (C) content per dry mass	10	10	1	
449	Branch dry mass per plant	116	116	9	
137	Branch dry mass per plant dry mass	40	40	37	
448	Branch dry mass per unit ground area	26	26	2	
450	Branch nitrogen (N) content per dry mass	27	27	4	
443	Branch nitrogen (N) content per dry mass vs leaf nitrogen (N) content per dry mass	1	1	1	
452	Branch nitrogen (N) content per plant	3	3	1	
451	Branch nitrogen (N) content per unit ground area	6	6	1	
442	Branch respiration per dry mass	104	104	5	
444	Branch respiration per nitrogen (N) content	54	54	2	
446	Branch respiration per surface area	100	100	4	
453	Branch respiration per volume	2	2	1	
445	Branch respiration temperature dependence	80	80	2	
360	Bud frequency per bud bank layer	939		331	
153	Bud source	370		168	
221	Chromosoms base number	3823		3082	
224	Chromosoms cDNA content	1148		683	
223	Chromosoms number	4971		3089	
222	Chromosoms ploidy	3823		3082	
646	Coarse root  potassium (K) content per dry mass	1	1	1	
643	Coarse root aluminium (Al) content per dry mass	1	1	1	
649	Coarse root antimony (Sb) content per dry mass	1	1	1	
657	Coarse root arsenic (As) content per dry mass	1	1	1	
651	Coarse root cadmium (Cd) content per dry mass	1	1	1	
641	Coarse root calcium (Ca) content per dry mass	1	1	1	
456	Coarse root carbon (C) content per dry mass	4	4	1	
166	Coarse root carbon/nitrogen (C/N) ratio	46	46	46	
658	Coarse root chromium (Cr) content per dry mass	1	1	1	
654	Coarse root copper (Cu) content per dry mass	1	1	1	
458	Coarse root dry mass per plant	64	64	5	
465	Coarse root dry mass per plant dry mass	10	10	4	
457	Coarse root dry mass per unit ground area	26	26	3	
644	Coarse root iron (Fe) content per dry mass	1	1	1	
652	Coarse root lead (Pb) content per dry mass	1	1	1	
642	Coarse root magnesium (Mg) content per dry mass	1	1	1	
648	Coarse root mercury (Hg) content per dry mass	1	1	1	
650	Coarse root molybdenum (Mo) content per dry mass	1	1	1	
653	Coarse root nickel (Ni) content per dry mass	1	1	1	
459	Coarse root nitrogen (N) content per dry mass	14	14	4	
455	Coarse root nitrogen (N) content per unit ground area	6	6	1	
620	Coarse root phosphorus (P) content per dry mass	1	1	1	
645	Coarse root sodium (Na) content per dry mass	1	1	1	
647	Coarse root sulfur (S) content per dry mass	1	1	1	
655	Coarse root thallium (Ti) content per dry mass	1	1	1	
